ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
OENG,medium_airport,Nejran Airport,3982,AS,SA,SA-10,,OENG,EAM,,"17.611400604248047, 44.4192008972168"
OEPA,medium_airport,Al Qaisumah/Hafr Al Batin Airport,1174,AS,SA,SA-04,Qaisumah,OEPA,AQI,,"28.335199, 46.125099"
OEPS,medium_airport,Prince Sultan Air Base,1651,AS,SA,SA-01,,OEPS,AKH,,"24.062700271606445, 47.580501556396484"
OERF,medium_airport,Rafha Domestic Airport,1474,AS,SA,SA-08,Rafha,OERF,RAH,,"29.626399993896484, 43.4906005859375"
OERK,large_airport,King Khaled International Airport,2049,AS,SA,SA-01,Riyadh,OERK,RUH,,"24.957599639892578, 46.69879913330078"
OERM,medium_airport,Ras Mishab Airport,13,AS,SA,SA-04,,OERM,,,"28.079599380493164, 48.611000061035156"
OERR,medium_airport,Arar Domestic Airport,1813,AS,SA,SA-08,Arar,OERR,RAE,,"30.906600952148438, 41.13819885253906"
OERT,medium_airport,Ras Tanura Airport,6,AS,SA,SA-04,,OERT,,,"26.723100662231445, 50.030799865722656"
OERY,medium_airport,Riyadh Air Base,2082,AS,SA,SA-01,Riyadh,OERY,XXN,,"24.709800720214844, 46.72520065307617"
OESH,medium_airport,Sharurah Airport,2363,AS,SA,SA-10,,OESH,SHW,,"17.466899871826172, 47.12139892578125"
OESK,medium_airport,Al-Jawf Domestic Airport,2261,AS,SA,SA-12,Al-Jawf,OESK,AJF,,"29.78510093688965, 40.099998474121094"
OETB,medium_airport,Tabuk Airport,2551,AS,SA,SA-07,Tabuk,OETB,TUU,,"28.3654, 36.6189"
OETF,medium_airport,Ta’if Regional Airport,4848,AS,SA,SA-02,Ta’if,OETF,TIF,,"21.483001, 40.543442"
OETN,medium_airport,Ras Tanajib Airport,30,AS,SA,SA-04,,OETN,,,"27.867799758911133, 48.769100189208984"
OETR,medium_airport,Turaif Domestic Airport,2803,AS,SA,SA-08,Turaif,OETR,TUI,,"31.692188, 38.731544"
OEWD,medium_airport,Wadi Al Dawasir Airport,2062,AS,SA,SA-01,,OEWD,WAE,,"20.504299163800003, 45.199600219699995"
OEWJ,medium_airport,Al Wajh Domestic Airport,66,AS,SA,SA-07,Al Wajh,OEWJ,EJH,,"26.19860076904297, 36.47639846801758"
OEYN,medium_airport,Prince Abdulmohsin Bin Abdulaziz Airport,26,AS,SA,SA-03,Yanbu,OEYN,YNB,,"24.144199, 38.0634"
OIAA,medium_airport,Abadan Airport,10,AS,IR,IR-10,Abadan,OIAA,ABD,,"30.371099472, 48.2282981873"
OIAG,medium_airport,Aghajari Airport,88,AS,IR,IR-10,Aghajari,OIAG,AKW,,"30.7444, 49.6772"
OIAH,medium_airport,Gachsaran Airport,2414,AS,IR,IR-18,Gachsaran,OIAH,GCH,,"30.337600708, 50.827999115"
OIAI,medium_airport,Shahid Asyaee Airport,1206,AS,IR,IR-10,,OIAI,,,"32.00239944458008, 49.27040100097656"
OIAM,medium_airport,Mahshahr Airport,8,AS,IR,IR-10,,OIAM,MRX,,"30.55620002746582, 49.15190124511719"
OIAW,medium_airport,Ahwaz Airport,66,AS,IR,IR-10,Ahwaz,OIAW,AWZ,,"31.337400436399996, 48.7620010376"
OIBA,medium_airport,Abu Musa Island Airport,23,AS,IR,IR-23,Abu Musa,OIBA,AEU,,"25.8757, 55.033001"
OIBB,medium_airport,Bushehr Airport,68,AS,IR,IR-06,Bushehr,OIBB,BUZ,,"28.9447994232, 50.8345985413"
OIBJ,medium_airport,Jam Airport,2173,AS,IR,IR-06,Kangan,OIBJ,KNR,,"27.820499420166016, 52.35219955444336"
OIBK,medium_airport,Kish International Airport,101,AS,IR,IR-23,Kish Island,OIBK,KIH,,"26.5261993408, 53.980201721200004"
OIBL,medium_airport,Bandar Lengeh Airport,67,AS,IR,IR-23,Bandar Lengeh,OIBL,BDH,,"26.531999588, 54.824798584"
OIBP,medium_airport,Persian Gulf International Airport,27,AS,IR,IR-06,Asalouyeh,OIBP,PGU,,"27.379601, 52.737701"
OIBQ,medium_airport,Khark Island Airport,17,AS,IR,IR-06,,OIBQ,KHK,,"29.260299682617188, 50.32389831542969"
OIBS,medium_airport,Sirri Island Airport,43,AS,IR,IR-23,,OIBS,SXI,,"25.908899307250977, 54.539398193359375"
OIBV,medium_airport,Lavan Island Airport,76,AS,IR,IR-23,,OIBV,LVP,,"26.810300827026367, 53.356300354003906"
OICC,medium_airport,Shahid Ashrafi Esfahani Airport,4307,AS,IR,IR-17,Kermanshah,OICC,KSH,,"34.3459014893, 47.1581001282"
OICI,medium_airport,Ilam Airport,4404,AS,IR,IR-05,Ilam,OICI,IIL,,"33.58660125732422, 46.40480041503906"
OICK,medium_airport,Khoram Abad Airport,3782,AS,IR,IR-20,,OICK,KHD,,"33.43539810180664, 48.282901763916016"
OICS,medium_airport,Sanandaj Airport,4522,AS,IR,IR-16,,OICS,SDG,,"35.24589920043945, 47.00920104980469"
OIFK,medium_airport,Kashan Airport,3465,AS,IR,IR-04,Kashan,OIFK,KKS,,"33.895302, 51.577"
OIFM,medium_airport,Esfahan Shahid Beheshti International Airport,5059,AS,IR,IR-04,Isfahan,OIFM,IFN,,"32.75080108642578, 51.86130142211914"
OIFP,medium_airport,Badr Air Base,5242,AS,IR,IR-04,Esfahan,OIFP,,,"32.62110137939453, 51.696998596191406"
OIFS,medium_airport,Shahrekord Airport,6723,AS,IR,IR-08,Shahrekord,OIFS,CQD,,"32.2971992493, 50.842201232899995"
OIGG,medium_airport,Sardar-e-Jangal Airport,-40,AS,IR,IR-19,Rasht,OIGG,RAS,,"37.323333, 49.617778"
OIHH,medium_airport,Hamadan Airport,5755,AS,IR,IR-24,Hamadan,OIHH,HDM,,"34.86920166015625, 48.5525016784668"
OIHS,medium_airport,Hamadan Air Base,5609,AS,IR,IR-24,Hamadan,OIHS,,,"35.21160125732422, 48.65340042114258"
OIIE,large_airport,Imam Khomeini International Airport,3305,AS,IR,IR-07,Tehran,OIIE,IKA,,"35.416099548339844, 51.152198791503906"
OIIG,medium_airport,Ghale Morghi Airport,3627,AS,IR,IR-07,,OIIG,,,"35.644798278808594, 51.380699157714844"
OIII,large_airport,Mehrabad International Airport,3962,AS,IR,IR-07,Tehran,OIII,THR,,"35.68920135498047, 51.31340026855469"
OIIK,medium_airport,Qazvin Airport,4184,AS,IR,IR-28,Qazvin,OIIK,GZW,,"36.240101, 50.0471"
OIIM,medium_airport,Naja Airport,4040,AS,IR,IR-07,,OIIM,,,"35.77629852294922, 50.88100051879883"
OIIP,medium_airport,Payam International Airport,4170,AS,IR,IR-U-A,Karaj,OIIP,PYK,,"35.776100158691, 50.826698303223"
OIKB,medium_airport,Bandar Abbas International Airport,22,AS,IR,IR-23,Bandar Abbas,OIKB,BND,,"27.218299865722656, 56.37779998779297"
OIKJ,medium_airport,Jiroft Airport,2663,AS,IR,IR-15,Jiroft,OIKJ,JYR,,"28.726900100699996, 57.67029953"
OIKK,medium_airport,Kerman Airport,5741,AS,IR,IR-15,Kerman,OIKK,KER,,"30.274400711099997, 56.9510993958"
OIKM,medium_airport,Bam Airport,3231,AS,IR,IR-15,,OIKM,BXR,,"29.084199905395508, 58.45000076293945"
OIKQ,medium_airport,Dayrestan Airport,45,AS,IR,IR-23,,OIKQ,,,"26.754600524902344, 55.902400970458984"
OIKR,medium_airport,Rafsanjan Airport,5298,AS,IR,IR-15,,OIKR,RJN,,"30.297700881958008, 56.05110168457031"
OIKY,medium_airport,Sirjan Airport,5846,AS,IR,IR-15,,OIKY,SYJ,,"29.550899505615234, 55.672698974609375"
OIMB,medium_airport,Birjand Airport,4952,AS,IR,IR-29,Birjand,OIMB,XBJ,,"32.898101806640625, 59.2661018371582"
OIMC,medium_airport,Sarakhs Airport,945,AS,IR,IR-30,Sarakhs,OIMC,CKT,,"36.50120162963867, 61.06489944458008"
OIMM,large_airport,Mashhad International Airport,3263,AS,IR,IR-30,Mashhad,OIMM,MHD,,"36.235198974609375, 59.64099884033203"
OIMN,medium_airport,Bojnord Airport,3499,AS,IR,IR-31,Bojnord,OIMN,BJB,,"37.49300003051758, 57.30820083618164"
OIMS,medium_airport,Sabzevar National Airport,3010,AS,IR,IR-30,Sabzevar,OIMS,AFZ,,"36.16809844970703, 57.59519958496094"
OIMT,medium_airport,Tabas Airport,2312,AS,IR,IR-25,Tabas,OIMT,TCX,,"33.6678009033, 56.8927001953"
OING,medium_airport,Gorgan Airport,-24,AS,IR,IR-27,Gorgan,OING,GBT,,"36.909400939899996, 54.4012985229"
OINN,medium_airport,Noshahr Airport,-61,AS,IR,IR-21,,OINN,NSH,,"36.663299560546875, 51.464698791503906"
OINR,medium_airport,Ramsar Airport,-70,AS,IR,IR-21,,OINR,RZR,,"36.9099006652832, 50.67959976196289"
OINZ,medium_airport,Dasht-e Naz Airport,35,AS,IR,IR-21,Sari,OINZ,SRY,,"36.635799408, 53.193599700899995"
OISF,medium_airport,Fasa Airport,4261,AS,IR,IR-14,Fasa,OISF,FAZ,,"28.891799926757812, 53.72330093383789"
OISL,medium_airport,Lar Airport,2641,AS,IR,IR-14,Lar,OISL,LRR,,"27.6746997833, 54.3833007812"
OISS,large_airport,Shiraz Shahid Dastghaib International Airport,4920,AS,IR,IR-14,Shiraz,OISS,SYZ,,"29.539199829101562, 52.58980178833008"
OISY,medium_airport,Yasouj Airport,5939,AS,IR,IR-18,Yasouj,OISY,YES,,"30.700500488281, 51.545101165771"
OITL,medium_airport,Ardabil Airport,4315,AS,IR,IR-03,Ardabil,OITL,ADU,,"38.3256988525, 48.4244003296"
OITR,medium_airport,Urmia Airport,4343,AS,IR,IR-02,Urmia,OITR,OMH,,"37.6680984497, 45.0686988831"
OITT,large_airport,Tabriz International Airport,4459,AS,IR,IR-01,Tabriz,OITT,TBZ,,"38.1338996887207, 46.23500061035156"
OITZ,medium_airport,Zanjan Airport,5382,AS,IR,IR-11,Zanjan,OITZ,JWN,,"36.7737007141, 48.3594017029"
OIYY,medium_airport,Shahid Sadooghi Airport,4054,AS,IR,IR-25,Yazd,OIYY,AZD,,"31.9048995972, 54.2765007019"
OIZB,medium_airport,Zabol Airport,1628,AS,IR,IR-13,,OIZB,ACZ,,"31.09830093383789, 61.54389953613281"
OIZC,medium_airport,Konarak Airport,43,AS,IR,IR-13,Chabahar,OIZC,ZBR,,"25.443300247199996, 60.3820991516"
OIZH,medium_airport,Zahedan International Airport,4564,AS,IR,IR-13,Zahedan,OIZH,ZAH,,"29.47570037841797, 60.90620040893555"
OIZI,medium_airport,Iran Shahr Airport,2040,AS,IR,IR-13,Iranshahr,OIZI,IHR,,"27.2360992432, 60.7200012207"
OJ40,medium_airport,Muwaffaq Salti Air Base,1706,AS,JO,JO-AZ,Al Azraq,OJ40,,OJ40,"31.8255996704, 36.782001495399996"
OJAI,large_airport,Queen Alia International Airport,2395,AS,JO,JO-AM,Amman,OJAI,AMM,,"31.7226009369, 35.9931983948"
OJAM,medium_airport,Amman-Marka International Airport,2555,AS,JO,JO-AM,Amman,OJAM,ADJ,,"31.972700119018555, 35.991600036621094"
OJAQ,medium_airport,Aqaba King Hussein International Airport,175,AS,JO,JO-AQ,Aqaba,OJAQ,AQJ,,"29.611600875854492, 35.01810073852539"
OKAJ,medium_airport,Ahmed Al Jaber Air Base,409,AS,KW,KW-AH,Ahmed Al Jaber AB,OKAJ,XIJ,,"28.9347991943, 47.791900634799994"
OKAS,medium_airport,Ali Al Salem Air Base,472,AS,KW,KW-JA,,OKAS,,,"29.34670066833496, 47.52080154418945"
OKBK,large_airport,Kuwait International Airport,206,AS,KW,KW-FA,Kuwait City,OKBK,KWI,,"29.226600646972656, 47.96889877319336"
OLBA,large_airport,Beirut Rafic Hariri International Airport,87,AS,LB,LB-JL,Beirut,OLBA,BEY,,"33.820899963378906, 35.488399505615234"
OLKA,medium_airport,Rene Mouawad Air Base,75,AS,LB,LB-AS,Tripoli,OLKA,KYE,,"34.589298248291016, 36.01129913330078"
OLRA,medium_airport,Rayak Air Base,3018,AS,LB,LB-BI,Rayak,OLRA,,,"33.850799560546875, 35.987701416015625"
OM-0003,large_airport,Duqm International Airport,364,AS,OM,OM-WU,Duqm,OODQ,DQM,,"19.501944, 57.634167"
OM-0004,large_airport,Rustaq Airport,349,AS,OM,OM-BA,Al Masna'ah,OORQ,MNH,,"23.640556, 57.4875"
OMAA,large_airport,Abu Dhabi International Airport,88,AS,AE,AE-AZ,Abu Dhabi,OMAA,AUH,,"24.433000564575195, 54.651100158691406"
OMAD,medium_airport,Bateen Airport,16,AS,AE,AE-AZ,,OMAD,AZI,,"24.428300857543945, 54.458099365234375"
OMAL,medium_airport,Al Ain International Airport,869,AS,AE,AE-AZ,Al Ain,OMAL,AAN,,"24.261699676513672, 55.60919952392578"
OMAM,medium_airport,Al Dhafra Air Base,77,AS,AE,AE-AZ,,OMAM,DHF,,"24.248199462900004, 54.547698974599996"
OMBY,medium_airport,Sir Bani Yas Airport,25,AS,AE,AE-AZ,,OMBY,XSB,OMBY,"24.283611, 52.580278"
OMDB,large_airport,Dubai International Airport,62,AS,AE,AE-DU,Dubai,OMDB,DXB,,"25.2527999878, 55.3643989563"
OMDM,medium_airport,Al Minhad Air Base,165,AS,AE,AE-DU,Dubai,OMDM,NHD,,"25.0268001556, 55.3661994934"
OMDW,large_airport,Al Maktoum International Airport,114,AS,AE,AE-DU,Jebel Ali,OMDW,DWC,,"24.896356, 55.161389"
OMFJ,medium_airport,Fujairah International Airport,152,AS,AE,AE-FU,,OMFJ,FJR,,"25.112199783325195, 56.32400131225586"
OMRK,medium_airport,Ras Al Khaimah International Airport,102,AS,AE,AE-RK,Ras Al Khaimah,OMRK,RKT,,"25.613500595092773, 55.93880081176758"
OMSJ,large_airport,Sharjah International Airport,111,AS,AE,AE-SH,Sharjah,OMSJ,SHJ,,"25.32859992980957, 55.5172004699707"
OOKB,medium_airport,Khasab Air Base,100,AS,OM,OM-MU,Khasab,OOKB,KHS,,"26.17099952697754, 56.2406005859375"
OOMA,medium_airport,Masirah Air Base,64,AS,OM,OM-SH,Masirah,OOMA,MSH,,"20.675399780273438, 58.890499114990234"
OOMS,large_airport,Muscat International Airport,48,AS,OM,OM-MA,Muscat,OOMS,MCT,,"23.593299865722656, 58.284400939941406"
OOSA,medium_airport,Salalah Airport,73,AS,OM,OM-ZU,Salalah,OOSA,SLL,,"17.038700103759766, 54.09130096435547"
OOTH,medium_airport,Thumrait Air Base,1570,AS,OM,OM-ZU,Thumrait,OOTH,TTH,,"17.666000366210938, 54.024600982666016"
OP12,medium_airport,Bandari Air Base,2524,AS,PK,PK-BA,,,,,"27.846500396728516, 65.16000366210938"
OPBW,medium_airport,Bahawalpur Airport,392,AS,PK,PK-PB,Bahawalpur,OPBW,BHV,,"29.348100662231445, 71.71800231933594"
OPCH,medium_airport,Chitral Airport,4920,AS,PK,PK-NW,Chitral,OPCH,CJL,,"35.886600494384766, 71.80059814453125"
OPDG,medium_airport,Dera Ghazi Khan Airport,492,AS,PK,PK-PB,Dera Ghazi Khan,OPDG,DEA,,"29.961000442504883, 70.48590087890625"
OPDI,medium_airport,Dera Ismael Khan Airport,594,AS,PK,PK-NW,Dera Ismael Khan,OPDI,DSK,,"31.909400939941406, 70.89659881591797"
OPFA,medium_airport,Faisalabad International Airport,591,AS,PK,PK-PB,Faisalabad,OPFA,LYP,,"31.364999771118164, 72.99479675292969"
OPGD,medium_airport,Gwadar International Airport,36,AS,PK,PK-BA,Gwadar,OPGD,GWD,,"25.233299255371094, 62.329498291015625"
OPGT,medium_airport,Gilgit Airport,4796,AS,PK,PK-NA,Gilgit,OPGT,GIL,,"35.918800354003906, 74.33360290527344"
OPJA,medium_airport,Shahbaz Air Base,185,AS,PK,PK-SD,Jacobabad,OPJA,JAG,,"28.28420066833496, 68.44969940185547"
OPKC,medium_airport,Jinnah International Airport,100,AS,PK,PK-SD,Karachi,OPKC,KHI,,"24.9065, 67.160797"
OPLA,medium_airport,Alama Iqbal International Airport,712,AS,PK,PK-PB,Lahore,OPLA,LHE,,"31.5216007232666, 74.40360260009766"
OPLH,medium_airport,Walton Airport,679,AS,PK,PK-PB,Walton,OPLH,,,"31.494800567626953, 74.34619903564453"
OPMA,medium_airport,Mangla Airport,902,AS,PK,PK-PB,Mangla,OPMA,XJM,,"33.05009841918945, 73.63839721679688"
OPMF,medium_airport,Muzaffarabad Airport,2691,AS,PK,PK-JK,Muzaffarabad,OPMF,MFG,,"34.3390007019043, 73.50859832763672"
OPMI,medium_airport,Mianwali Air Base,690,AS,PK,PK-PB,Mianwali,OPMI,MWD,,"32.5630989074707, 71.5707015991211"
OPMJ,medium_airport,Moenjodaro Airport,154,AS,PK,PK-SD,Moenjodaro,OPMJ,MJD,,"27.3351993560791, 68.14309692382812"
OPMR,medium_airport,Masroor Air Base,35,AS,PK,PK-SD,Karachi,OPMR,,,"24.893600463867188, 66.93879699707031"
OPMS,medium_airport,Minhas Air Base,1023,AS,PK,PK-PB,Kamra,OPMS,ATG,,"33.8690986633, 72.4009017944"
OPMT,medium_airport,Multan International Airport,403,AS,PK,PK-PB,Multan,OPMT,MUX,,"30.20319938659668, 71.41909790039062"
OPNH,medium_airport,Shaheed Benazirabad Airport,95,AS,PK,PK-SD,Nawabashah,OPNH,WNS,,"26.2194, 68.390099"
OPPG,medium_airport,Panjgur Airport,3289,AS,PK,PK-BA,Panjgur,OPPG,PJG,,"26.954500198364258, 64.13249969482422"
OPPI,medium_airport,Pasni Airport,33,AS,PK,PK-BA,Pasni,OPPI,PSI,,"25.29050064086914, 63.34510040283203"
OPPS,medium_airport,Peshawar International Airport,1158,AS,PK,PK-NW,Peshawar,OPPS,PEW,,"33.993900299072266, 71.51460266113281"
OPQT,medium_airport,Quetta International Airport,5267,AS,PK,PK-BA,Quetta,OPQT,UET,,"30.251399993896484, 66.93779754638672"
OPRK,medium_airport,Shaikh Zaid Airport,271,AS,PK,PK-PB,Rahim Yar Khan,OPRK,RYK,,"28.383899688720703, 70.27960205078125"
OPRN,medium_airport,Benazir Bhutto International Airport,1668,AS,PK,PK-PB,Islamabad,OPRN,,,"33.616699, 73.099197"
OPRQ,medium_airport,Rafiqui Air Base,492,AS,PK,PK-PB,Shorkot,OPRQ,,,"30.758100509643555, 72.28250122070312"
OPRS,medium_airport,Risalpur Air Base,1050,AS,PK,PK-NW,Risalpur,OPRS,,,"34.08110046386719, 71.97260284423828"
OPRT,medium_airport,Rawalakot Airport,5479,AS,PK,PK-JK,Rawalakot,OPRT,RAZ,,"33.849700927734375, 73.79810333251953"
OPSD,medium_airport,Skardu Airport,7316,AS,PK,PK-NA,Skardu,OPSD,KDU,,"35.33549880981445, 75.53600311279297"
OPSF,medium_airport,Faisal Air Base,29,AS,PK,PK-SD,Karachi,OPSF,,,"24.87420082092285, 67.11849975585938"
OPSK,medium_airport,Sukkur Airport,196,AS,PK,PK-SD,Mirpur Khas,OPSK,SKZ,,"27.722000122070312, 68.79170227050781"
OPSN,medium_airport,Sehwan Sharif Airport,121,AS,PK,PK-SD,Sehwan Sharif,OPSN,SYW,,"26.473100662231445, 67.71720123291016"
OPSR,medium_airport,Mushaf Air Base,614,AS,PK,PK-PB,Sargodha,OPSR,SGI,,"32.04859924316406, 72.66500091552734"
OPSS,medium_airport,Saidu Sharif Airport,3183,AS,PK,PK-NW,Saidu Sharif,OPSS,SDT,,"34.8135986328125, 72.35279846191406"
OPST,large_airport,Sialkot Airport,837,AS,PK,PK-PB,Sialkot,OPST,SKT,,"32.5355567932, 74.3638916016"
OPSU,medium_airport,Sui Airport,763,AS,PK,PK-BA,Sui,OPSU,SUL,,"28.645099639892578, 69.1769027709961"
OPTU,medium_airport,Turbat International Airport,498,AS,PK,PK-BA,Turbat,OPTU,TUK,,"25.986400604248047, 63.03020095825195"
OPZB,medium_airport,Zhob Airport,4728,AS,PK,PK-BA,Fort Sandeman,OPZB,PZH,,"31.358400344848633, 69.4636001586914"
ORAA,medium_airport,Al Asad Air Base,618,AS,IQ,IQ-AN,Hīt,ORAA,IQA,,"33.7855987549, 42.4412002563"
ORAT,medium_airport,Al Taqaddum Air Base,275,AS,IQ,IQ-AN,Al Habbaniyah,ORAT,TQD,,"33.33810043335, 43.597099304199"
ORBD,medium_airport,Joint Base Balad,161,AS,IQ,IQ-SD,Balad,ORBD,XQC,,"33.940200805699995, 44.361598968500005"
ORBI,large_airport,Baghdad International Airport,114,AS,IQ,IQ-BG,Baghdad,ORBI,BGW,,"33.262500762900004, 44.2346000671"
ORBM,medium_airport,Mosul International Airport,719,AS,IQ,IQ-NI,Mosul,ORBM,OSM,,"36.305801, 43.1474"
ORER,medium_airport,Erbil International Airport,1341,AS,IQ,IQ-AR,Arbil,ORER,EBL,,"36.23759841918945, 43.963199615478516"
ORKK,medium_airport,Kirkuk Air Base,1061,AS,IQ,IQ-TS,Kirkuk,ORKK,KIK,,"35.46950149536133, 44.348899841308594"
ORMM,large_airport,Basrah International Airport,11,AS,IQ,IQ-BA,Basrah,ORMM,BSR,,"30.549100875854492, 47.66210174560547"
ORQW,medium_airport,Qayyarah West Airport,749,AS,IQ,IQ-NI,Qayyarah,ORQW,RQW,,"35.76720047, 43.125099182099994"
ORSH,medium_airport,Al Sahra Army Air Field,451,AS,IQ,IQ-SD,Tikrit,ORSH,,,"34.67319869995117, 43.542999267578125"
ORSU,medium_airport,Sulaymaniyah International Airport,2494,AS,IQ,IQ-SW,Sulaymaniyah,ORSU,ISU,OSO,"35.5617485046, 45.316738128699996"
ORTF,medium_airport,Tall Afar Army Air Field,996,AS,IQ,IQ-NI,Tall Afar,ORTF,,,"36.28310012817383, 42.40299987792969"
ORTI,medium_airport,Al Taji Army Air Field,121,AS,IQ,IQ-BG,Taji,ORTI,,,"33.52389907836914, 44.25669860839844"
ORTL,medium_airport,Ali Air Base,20,AS,IQ,IQ-DQ,Nasiriyah,ORTL,,,"30.935800552368164, 46.0900993347168"
ORUB,medium_airport,Ubaydah Bin Al Jarrah Airport,68,AS,IQ,IQ-WA,Al Cut,ORUB,,,"32.481998443603516, 45.75709915161133"
OS57,medium_airport,Abu ad Duhur Air Base,846,AS,SY,SY-HL,Abu ad Duhur,,,,"35.732200622558594, 37.10419845581055"
OS64,medium_airport,An Nasiriyah Air Base,2727,AS,SY,SY-DI,,,,,"33.91899871826172, 36.866600036621094"
OS69,medium_airport,Khalkhalah Air Base,2310,AS,SY,SY-SU,Buraq,,,,"33.077301025390625, 36.55820846557617"
OS70,medium_airport,Al Qusayr Air Base,1768,AS,SY,SY-HI,Al-Qusayr,,,,"34.56909942626953, 36.57279968261719"
OSAP,large_airport,Aleppo International Airport,1276,AS,SY,SY-HL,Aleppo,OSAP,ALP,,"36.18069839477539, 37.22439956665039"
OSDI,large_airport,Damascus International Airport,2020,AS,SY,SY-DI,Damascus,OSDI,DAM,,"33.4114990234375, 36.51559829711914"
OSDZ,medium_airport,Deir ez-Zor Air Base,700,AS,SY,SY-DY,Deir ez-Zor,OSDZ,DEZ,,"35.2854, 40.175999"
OSKL,medium_airport,Kamishly Airport,1480,AS,SY,SY-HA,Kamishly,OSKL,KAC,,"37.020599365234375, 41.19139862060547"
OSLK,large_airport,Bassel Al-Assad International Airport,157,AS,SY,SY-LA,Latakia,OSLK,LTK,,"35.401100158691406, 35.948699951171875"
OSPR,medium_airport,Palmyra Airport,1322,AS,SY,SY-HI,Tadmur,OSPR,PMS,,"34.5574, 38.316898"
OTBD,medium_airport,Doha International Airport,35,AS,QA,QA-DA,Doha,OTBD,DIA,,"25.261101, 51.565102"
OTBH,medium_airport,Al Udeid Air Base,130,AS,QA,QA-RA,Ar Rayyan,OTBH,XJD,,"25.1173000336, 51.3149986267"
OY74,medium_airport,Al Anad Air Base,900,AS,YE,YE-LA,,,,,"13.174699783325195, 44.765098571777344"
OYAA,medium_airport,Aden International Airport,7,AS,YE,YE-AD,Aden,OYAA,ADE,,"12.829500198364258, 45.02880096435547"
OYAT,medium_airport,Ataq Airport,3735,AS,YE,YE-AB,,OYAT,AXK,,"14.551300048828125, 46.82619857788086"
OYBN,medium_airport,Beihan Airport,3800,AS,YE,YE-AB,,OYBN,BHN,,"14.781999588012695, 45.72010040283203"
OYGD,medium_airport,Al Ghaidah International Airport,134,AS,YE,YE-MR,,OYGD,AAY,,"16.191699981689453, 52.17499923706055"
OYHD,medium_airport,Hodeidah International Airport,41,AS,YE,YE-HU,Hodeida,OYHD,HOD,,"14.753000259399414, 42.97629928588867"
OYRN,medium_airport,Mukalla International Airport,54,AS,YE,YE-HD,Riyan,OYRN,RIY,,"14.662599563598633, 49.375"
OYSN,medium_airport,Sana'a International Airport,7216,AS,YE,YE-SN,Sana'a,OYSN,SAH,,"15.476300239562988, 44.21969985961914"
OYSQ,medium_airport,Socotra International Airport,146,AS,YE,YE-HD,Socotra Islands,OYSQ,SCT,,"12.63070011138916, 53.905799865722656"
OYSY,medium_airport,Sayun International Airport,2097,AS,YE,YE-HD,Sayun,OYSY,GXF,,"15.9660997391, 48.78829956049999"
OYTZ,medium_airport,Ta'izz International Airport,4838,AS,YE,YE-TA,Ta'izz,OYTZ,TAI,,"13.6859998703, 44.139099121099996"
PAAQ,medium_airport,"Warren ""Bud"" Woods Palmer Municipal Airport",242,NA,US,US-AK,Palmer,PAAQ,PAQ,PAQ,"61.594898, -149.08901"
PABA,medium_airport,Barter Island LRRS Airport,2,NA,US,US-AK,Barter Island Lrrs,PABA,BTI,BTI,"70.1340026855, -143.582000732"
PABE,medium_airport,Bethel Airport,126,NA,US,US-AK,Bethel,PABE,BET,BET,"60.77980042, -161.8379974"
PABI,medium_airport,Allen Army Airfield,1291,NA,US,US-AK,Delta Junction Ft Greely,PABI,BIG,BIG,"63.9944992065, -145.722000122"
PABL,medium_airport,Buckland Airport,31,NA,US,US-AK,Buckland,PABL,BKC,BVK,"65.9815979004, -161.149002075"
PABR,medium_airport,Wiley Post Will Rogers Memorial Airport,44,NA,US,US-AK,Utqiaġvik,PABR,BRW,BRW,"71.285402, -156.766008"
PABT,medium_airport,Bettles Airport,647,NA,US,US-AK,Bettles,PABT,BTT,BTT,"66.91390228, -151.529007"
PABV,medium_airport,Birchwood Airport,83,NA,US,US-AK,Birchwood,PABV,,BCV,"61.41650009, -149.5070038"
PACD,medium_airport,Cold Bay Airport,96,NA,US,US-AK,Cold Bay,PACD,CDB,CDB,"55.20610046386719, -162.72500610351562"
PACL,medium_airport,Clear Airport,552,NA,US,US-AK,Clear,PACL,,Z84,"64.301201, -149.119995"
PACM,medium_airport,Scammon Bay Airport,14,NA,US,US-AK,Scammon Bay,PACM,SCM,SCM,"61.845298767100005, -165.570999146"
PACV,medium_airport,Merle K (Mudhole) Smith Airport,54,NA,US,US-AK,Cordova,PACV,CDV,CDV,"60.4917984, -145.4779968"
PACZ,medium_airport,Cape Romanzof LRRS Airport,464,NA,US,US-AK,Cape Romanzof,PACZ,CZF,CZF,"61.78030014, -166.0390015"
PADE,medium_airport,Deering Airport,21,NA,US,US-AK,Deering,PADE,DRG,DEE,"66.0696029663, -162.76600647"
PADK,medium_airport,Adak Airport,18,NA,US,US-AK,Adak Island,PADK,ADK,ADK,"51.87799835205078, -176.64599609375"
PADL,medium_airport,Dillingham Airport,81,NA,US,US-AK,Dillingham,PADL,DLG,DLG,"59.04470062, -158.5050049"
PADM,medium_airport,Marshall Don Hunter Sr Airport,103,NA,US,US-AK,Marshall,PADM,MLL,MDM,"61.8642997742, -162.026000977"
PADQ,medium_airport,Kodiak Airport,78,NA,US,US-AK,Kodiak,PADQ,ADQ,ADQ,"57.75, -152.4940033"
